address 1 | address 2 | county | date of transfer | district | duration | latitude | local area | longitude | is new build | number of records | postcode district | postcode region | postcode sector | postcode | price | property type | street | town/city | transaction ID | month | calculation 1 | calculation 2 | calculation 3 | calculation 4 | calculation 5 | year | average monthly price per km2 (copy)
9 | null | GREATER MANCHESTER | 2000-08-25 00:00:00.000000 | TAMESIDE | Freehold | 53.454371 | DENTON | -2.140851 | N | 1 | M34 | M3 | M34 2 | M34 2NQ | 59999 | Semi-Detached | PALMERSTON CLOSE | MANCHESTER | {CB7EE46F-B7FD-4E6D-B878-80E6B0B4770D} | 8 | 8 | 500000 | null | 0.465747576131591 | REST OF ENGLAND | 2000 | 7.76258897867617e-06
2 | null | LANCASHIRE | 2007-07-26 00:00:00.000000 | WEST LANCASHIRE | Freehold | 53.59897 | BURSCOUGH | -2.848475 | N | 1 | L40 | L4 | L40 7 | L40 7SF | 152000 | Semi-Detached | TRUSCOTT ROAD | ORMSKIRK | {A948B78F-3EC5-49D5-8243-D9E219C4C8BB} | 7 | 7 | 500000 | 2007-07-26 00:00:00.000000 | 1.17991352475878 | REST OF ENGLAND | 2007 | 7.76258897867617e-06
5 | null | NORTHAMPTONSHIRE | 1997-10-21 00:00:00.000000 | KETTERING | Freehold | 52.410957 | KETTERING | -0.731681 | N | 1 | NN16 | NN | NN16 9 | NN16 9JL | 53500 | Detached | THAMES RISE | KETTERING | {1C153055-9014-4D4B-8D04-72F9D8BB4CAF} | 10 | 10 | 500000 | null | 0.415298510359175 | REST OF ENGLAND | 1997 | 7.76258897867617e-06
33 | null | WEST MIDLANDS | 2000-06-09 00:00:00.000000 | SANDWELL | Freehold | 52.535983 | HAMSTEAD | -1.949649 | N | 1 | B43 | B4 | B43 5 | B43 5AB | 50000 | Semi-Detached | TANHOUSE AVENUE | BIRMINGHAM | {67705762-2ED4-48D3-A0CD-786966D20A23} | 6 | 6 | 50000 | null | 0.388129448933808 | REST OF ENGLAND | 2000 | 7.76258897867617e-06
12 | null | BOURNEMOUTH | 1999-01-20 00:00:00.000000 | BOURNEMOUTH | Freehold | 50.736308 | null | -1.836992 | N | 1 | BH7 | BH | BH7 7 | BH7 7AB | 136500 | Detached | BISHOPS CLOSE | BOURNEMOUTH | {79D649B3-DBD9-406E-99E3-1D6E757EC6DC} | 1 | 1 | 500000 | null | 1.0595933955893 | REST OF ENGLAND | 1999 | 7.76258897867617e-06
