"id","case_number","date","block","iucr","primary_type","description","location_description","arrest","domestic","beat","district","ward","community_area","fbi_code","x_coordinate","y_coordinate","year","updated_on","latitude","longitude","location"
"13445894","JH245436","2024-04-30T23:45:00.000","020XX N LECLAIRE AVE","0498","BATTERY","AGG. DOMESTIC BATTERY - HANDS, FISTS, FEET, SERIOUS INJURY","APARTMENT","false","true","2522","025","26","19","04B","1142089","1913036","2024","2024-05-08T15:41:27.000","41.917432651","-87.753393312","
,  
(41.917432651, -87.753393312)"
"13445856","JH245460","2024-04-30T23:43:00.000","019XX W GARFIELD BLVD","143A","WEAPONS VIOLATION","UNLAWFUL POSSESSION - HANDGUN","SIDEWALK","true","false","0932","009","16","61","15","1164206","1868188","2024","2024-05-08T15:41:27.000","41.793926324","-87.673401208","
,  
(41.793926324, -87.673401208)"
"13445886","JH245435","2024-04-30T23:43:00.000","072XX S VINCENNES AVE","1310","CRIMINAL DAMAGE","TO PROPERTY","APARTMENT","true","false","0731","007","6","69","14","1176403","1857070","2024","2024-05-08T15:41:27.000","41.763151705","-87.629009613","
,  
(41.763151705, -87.629009613)"
"13445925","JH245493","2024-04-30T23:40:00.000","087XX S BURLEY AVE","051A","ASSAULT","AGGRAVATED - HANDGUN","APARTMENT","false","false","0424","004","10","46","04A","1199188","1847551","2024","2024-05-08T15:41:27.000","41.736488616","-87.545819278","
,  
(41.736488616, -87.545819278)"
"13445823","JH245430","2024-04-30T23:40:00.000","014XX W HOWARD ST","0810","THEFT","OVER $500","RESTAURANT","false","false","2422","024","49","1","06","1165370","1950305","2024","2024-05-08T15:41:27.000","42.019236333","-87.666793052","
,  
(42.019236333, -87.666793052)"
"13445952","JH245444","2024-04-30T23:30:00.000","111XX S AVENUE E","0560","ASSAULT","SIMPLE","RESIDENCE","false","true","0433","004","10","52","08A","1203800","1831714","2024","2024-05-08T15:41:27.000","41.692913663","-87.529464607","
,  
(41.692913663, -87.529464607)"
"13448603","JH248870","2024-04-30T23:30:00.000","067XX S CORNELL AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false","0332","003","5","43","07","1188360","1860719","2024","2024-05-08T15:41:27.000","41.772887854","-87.58506919","
,  
(41.772887854, -87.58506919)"
"13445871","JH245456","2024-04-30T23:30:00.000","022XX W JACKSON BLVD","5000","OTHER OFFENSE","OTHER CRIME AGAINST PERSON","APARTMENT","false","false","1225","012","27","28","26","1161324","1898653","2024","2024-05-08T15:41:27.000","41.877585867","-87.683123746","
,  
(41.877585867, -87.683123746)"
"13446838","JH246480","2024-04-30T23:30:00.000","091XX S BURLEY AVE","031A","ROBBERY","ARMED - HANDGUN","SIDEWALK","false","false","0424","004","10","46","03","1199258","1845072","2024","2024-05-08T15:41:27.000","41.729684293","-87.545645945","
,  
(41.729684293, -87.545645945)"
"13445860","JH245422","2024-04-30T23:20:00.000","001XX W NORTH AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","GAS STATION","false","false","1814","018","2","7","07","1174903","1910996","2024","2024-05-08T15:41:27.000","41.911162611","-87.632895617","
,  
(41.911162611, -87.632895617)"
"13445881","JH245428","2024-04-30T23:17:00.000","005XX W ROOSEVELT RD","0820","THEFT","$500 AND UNDER","DRUG STORE","false","false","0124","001","28","28","06","1173209","1894980","2024","2024-05-08T15:41:27.000","41.867251542","-87.639594427","
,  
(41.867251542, -87.639594427)"
"13445820","JH245421","2024-04-30T23:17:00.000","028XX W 63RD ST","5111","OTHER OFFENSE","GUN OFFENDER - ANNUAL REGISTRATION","GAS STATION","true","false","0823","008","15","66","26","1158712","1862748","2024","2024-05-08T15:41:27.000","41.779112173","-87.693695901","
,  
(41.779112173, -87.693695901)"
